Target,boltz2_pearson_r,chai1_iptm_pearson_r,chai1_agg_pearson_r,GPCR_class,n_compounds
CB1R,0.8298,0.74,0.739,Class A,12
MTNR1B,0.8763,0.436,0.437,Class A,12
CASR,0.7477,0.626,0.623,Class C,9
GPR85,0.6017,-0.032,-0.035,Class A,12
CHRM3,0.8143,0.691,0.693,Class A,12
F2R,0.5367,-0.271,-0.269,Class A,12
OPN3,0.7555,0.713,0.714,Class A,12
HTR7,0.673,0.169,0.17,Class A,21
OX1R,0.6589,0.505,0.506,Class A,12
ADRB2,0.6751,0.749,0.747,Class A,12
DRD3,0.5714,0.127,0.124,Class A,22
CCR2,0.6985,-0.266,-0.254,Class A,14
GPR183,0.503,-0.004,-0.008,Class A,12
HTR1A,0.4794,0.718,0.716,Class A,12
PTGER2,0.5805,0.603,0.604,Class A,12
ADRB1,0.4636,0.21,0.215,Class A,12
RHO,0.4033,0.035,0.034,Class A,12
AGTR1,0.5699,0.571,0.57,Class A,23
HTR1B,0.5842,-0.164,-0.164,Class A,12
ADRA2A,0.6723,0.108,0.109,Class A,12
GPR101,0.6509,0.647,0.646,Class A,12
S1PR4,0.6541,0.011,0.005,Class A,11
OPN4,0.3687,0.355,0.352,Class A,12
MTNR1A,0.4692,-0.031,-0.036,Class A,12
HTR5A,0.4238,0.115,0.115,Class A,12
CXCR4,0.4485,0.571,0.569,Class A,12
PROKR1,0.3936,0.351,0.347,Class A,12
CCKBR,0.4935,-0.089,-0.094,Class A,10
HTR1F,0.4892,0.158,0.152,Class A,11
ADORA3,0.493,0.581,0.58,Class A,12
ADORA2B,0.3558,0.337,0.336,Class A,12
GPR39,0.0217,0.089,0.089,Class A,12
GPR182,0.1502,-0.261,-0.265,Class A,12
FZD2,0.4966,0.556,0.549,Class F,12
ADGRE5,0.2381,-0.509,-0.509,Class B,12
HRH3,0.5642,-0.525,-0.533,Class A,12
OX2R,0.3823,0.47,0.469,Class A,12
OPRK1,0.1608,-0.16,-0.159,Class A,12
HTR1D,0.3557,0.452,0.454,Class A,12
HTR2A,0.3402,0.071,0.07,Class A,20
OPRL1,0.4012,0.549,0.549,Class A,11
ADORA2A,0.2876,0.252,0.25,Class A,12
GPR97,0.1036,0.384,0.399,Class A,12
LTB4R,0.5646,-0.191,-0.189,Class A,12
CHRM5,0.1518,0.349,0.346,Class A,12
CHRM2,0.2854,-0.181,-0.184,Class A,11
CHRM4,0.2685,-0.12,-0.114,Class A,11
TBXA2R,0.3061,0.39,0.392,Class A,12
GPR50,0.0027,0.033,0.036,Class A,12
DRD1,0.2495,-0.038,-0.039,Class A,12
HRH2,0.2077,-0.3,-0.299,Class A,12
FZD9,0.1152,-0.252,-0.257,Class F,12
ADRA2B,0.1599,-0.021,-0.017,Class A,21
MCHR1,0.0949,-0.424,-0.423,Class A,22
GPR139,0.1202,0.555,0.553,Class A,11
ADRA1B,0.1348,0.43,0.431,Class A,11
FZD3,0.2213,0.295,0.289,Class F,12
GPR116,-0.1874,0.087,0.103,Class B,12
ADORA1,0.2199,0.094,0.09,Class A,24
GPR75,0.2588,0.468,0.466,Class A,12
GPR1,0.1772,-0.16,-0.16,Class A,12
ADRA1A,-0.3741,-0.391,-0.392,Class A,12
HTR2C,0.0214,-0.595,-0.595,Class A,12
CHRM1,-0.0189,0.404,0.406,Class A,12
FPR3,0.1873,0.463,0.462,Class A,12
EDG1,0.1843,0.12,0.118,Class A,12
PTAFR,0.1318,-0.077,-0.076,Class A,12
GPR40,0.1636,0.364,0.35,Class A,15
LPAR2,0.0789,0.234,0.238,Class A,12
GPR173,-0.0365,0.037,0.039,Class A,12
GHSR,0.3475,0.195,0.193,Class A,12
CXCR6,-0.2643,0.129,0.123,Class A,12
HTR6,-0.1416,0.309,0.308,Class A,12
GCGR,0.0328,0.268,0.269,Class B,12
HTR4,-0.1156,-0.317,-0.321,Class A,12
NPY5R,0.3809,-0.016,-0.024,Class A,12
HRH4,0.2787,-0.74,-0.738,Class A,12
BRS3,-0.2336,0.34,0.339,Class A,12
HTR2B,0.0361,0.089,0.089,Class A,12
GPR37,0.1682,0.564,0.559,Class A,12
GPR143,-0.1991,-0.005,-0.005,Class A,13
PTGER3,-0.1651,-0.22,-0.219,Class A,19
GPR84,-0.1473,-0.01,-0.007,Class A,12
FZD1,-0.1015,-0.453,-0.454,Class F,12
LGR4,0.027,0.231,0.245,Class A,12
OPN5,-0.2097,-0.337,-0.339,Class A,11
CCKAR,-0.3803,-0.087,-0.09,Class A,12
GPR52,-0.2424,-0.715,-0.735,Class A,11
SSTR5,-0.1017,-0.529,-0.535,Class A,12
HRH1,0.0071,0.088,0.095,Class A,12
GPR123,-0.513,0.146,0.146,Class B,12
GRM5,-0.4032,0.049,0.049,Class C,12
TACR1,-0.1282,0.121,0.121,Class A,12
CRHR1,0.106,0.255,0.257,Class B,18
GPR37L1,-0.0316,-0.127,-0.127,Class A,12
GPR151,0.1749,0.448,0.445,Class A,12
CCR8,0.105,-0.633,-0.63,Class A,10
CNR2,-0.5386,0.25,0.25,Class A,12
SMO,-0.3077,0.289,0.298,Class F,12
CCR3,-0.5422,0.222,0.222,Class A,10
