Target,n_binder,n_nonbinder,binder_mean,binder_std,binder_max,nb_mean,nb_std,nb_5pct,nb_95pct,Sep,binder_top_margin,r,AUROC,EF@0.5%,EF@1%,VS_success
SLC6A4,12,1359,-0.033742196,0.6407942947573285,1.136826515197754,-0.730880905,0.7008291565135717,-1.84,0.4451525062322602,0.5196232287946704,0.6916740089654936,-0.216,0.77,0,16.3,TRUE
SLC18A2,12,1340,0.1150876258810361,0.7184855930401008,1.0952682495117188,-0.45358593,0.5148233783798373,-1.25,0.4230257242918014,0.4610957751628254,0.6722425252199173,0.709,0.741,32.2,24.1,TRUE
SLC7A1,13,1358,-0.524447172,0.1972267070371087,-0.027288899,-0.780768241,0.5280842254397076,-1.619,0.1363600432872764,0.3533947410878334,-0.163648942,-0.518,0.693,0,0,FALSE
SLC7A10,15,1356,-0.287617634,0.6291217056453393,0.9446911215782166,-0.686557164,0.5803805924234247,-1.633,0.3077904880046844,0.3298377610862573,0.6369006335735321,0.145,0.675,13.1,6.5,FALSE
SLC19A3,12,1341,0.023088707,0.534098565,1.1117740869522097,-0.329662083,0.6106728889524464,-1.256,0.7324533462524414,0.3081407979019764,0.3793207406997683,0.292,0.672,0,0,FALSE
SLC16A2,12,1341,-0.240544361,0.5781278887875541,0.6917381286621094,-0.557305273,0.5582697679992118,-1.462,0.3515514135360718,0.2787412574695689,0.3401867151260376,0.654,0.639,0,0,FALSE
SLC18B1,279,1076,0.092005618,0.5008240833875193,1.4274874925613403,-0.196195731,0.5818504506836188,-1.093,0.780573845,0.2661938925539689,0.6469136476516724,0.216,0.648,1.4,1.4,FALSE
SLC6A12,10,1343,-0.849160486,0.8924195435716995,1.015810251235962,-1.211054407,0.6343008292410822,-2.153,-0.094671395,0.2370400810657857,1.1104816466569911,0.737,0.625,19.3,9.7,FALSE
SLC7A14,12,1359,-0.689912021,0.6229534707289288,0.8121250867843628,-0.924046989,0.5912331229485727,-1.845,0.097106889,0.1928327730183923,0.7150181978940967,0.424,0.61,16.3,8.2,FALSE
SLC7A4,11,1360,-0.506982897,0.5514682242413339,0.6888868808746338,-0.688099274,0.5894410267436502,-1.643,0.3221052691340439,0.1587474000137798,0.3667816117405899,0.156,0.594,0,8.9,FALSE
SLC18A3,12,1340,-0.288145477,0.3676162713966815,0.334084153,-0.411252415,0.5289249563657124,-1.223,0.506613427,0.1373131924523933,-0.172529274,-0.087,0.583,0,0,FALSE
SLC6A13,12,1359,-1.156975451,0.5426810719245976,0.1164312660694122,-1.311681333,0.6204200902634496,-2.229,-0.173381217,0.1330115444203645,0.2898124828934673,0.46,0.58,0,0,FALSE
SLC6A15,12,1340,-0.66775046,0.2831819774565379,-0.260143369,-0.775296538,0.624265788,-1.764,0.2988754898309705,0.1185148958997913,-0.559018859,-0.005,0.573,0,0,FALSE
SLC6A7,12,1341,-0.775468645,0.4711065408108448,0.2044654935598373,-0.865192432,0.6189929333163037,-1.848,0.2212672531604766,0.08230789,-0.01680176,0.295,0.545,0,0,FALSE
SLC29A3,10,1342,-0.420085101,0.3360897179724138,0.1946556866168975,-0.432145386,0.5043443674011993,-1.162,0.4853745594620705,0.014350066,-0.290718873,0.525,0.526,0,0,FALSE
SLC22A4,11,1341,-0.300145002,0.5625097833411608,1.0088659524917605,-0.303212707,0.5645567251986394,-1.213,0.651646614,0.002721849,0.3572193384170534,-0.751,0.48,0,0,FALSE
SLC7A11,12,1359,-0.67249433,0.5801895383555324,0.5578859448432922,-0.642958826,0.6127303359982226,-1.624,0.4145503818988799,-0.024759001,0.1433355629444123,-0.001,0.473,0,0,FALSE
SLC6A2,12,1340,-0.886993828,1.063069753506711,1.206216812133789,-0.820795343,0.6388442810145578,-1.843,0.2383964873850343,-0.038896491,0.9678203247487548,0.619,0.417,16.1,8,FALSE
SLC6A6,10,1361,-0.981644038,0.7652407913310392,0.4065365791320801,-0.9223329,0.6654727824096405,-1.937,0.1867194026708603,-0.041455634,0.2198171764612198,0.401,0.456,0,0,FALSE
SLC2A7,12,1340,-0.871551572,0.4031972434885069,-0.058464717,-0.791018735,0.5495603576513094,-1.623,0.1443131670355793,-0.08452605,-0.202777884,0.729,0.452,0,0,FALSE
SLC30A1,12,1340,-0.636427422,0.3773587061635347,-0.015973667,-0.48205606,0.5392083423842925,-1.321,0.4749329715967177,-0.168423426,-0.490906638,-0.69,0.422,0,0,FALSE
SLC6A11,12,1359,-1.47803877,0.5544229511927417,-0.476964623,-1.182691858,0.608750275,-2.11,-0.14025868,-0.253914813,-0.336705942,0.405,0.367,0,0,FALSE
SLC16A14,12,1340,-1.030173898,0.4660706222805542,-0.235268235,-0.687250372,0.5762381060789303,-1.645,0.3087433755397796,-0.329003793,-0.544011611,-0.597,0.32,0,0,FALSE
